en,hv
"thus , the unborn child in the womb is alive and is a living soul . ","gani , ang wala pa matawo nga lapsag may kabuhi na kag isa na ka buhi nga kalag . "
"understanding that timeless truth has helped millions of christians to repudiate the practice of abortion , seeing it as a serious sin against god . ","ang paghibalo sa sini nga kamatuoran nakabulig sa minilyon ka cristiano nga isikway ang aborsion , kay isa ini ka mabug - at nga sala batok sa dios . "
"granted , the unborn child is alive , but what value does jehovah place on that life . ",ano ang pagtamod ni jehova sa kabuhi sang wala pa mabun - ag nga lapsag . 
the law cited above demanded that an adult be put to death for causing the death of an unborn child . ,ang kasuguan nga ginsambit kaina nagapatuman nga dapat patyon ang tawo nga nangin kabangdanan sang kamatayon sang wala pa mabun - ag nga lapsag . 
"clearly , then , the life of an unborn child has great value in god ' s eyes . ","gani , maathag nga ang kabuhi sang wala pa matawo nga lapsag may daku nga balor sa pagtamod sang dios . "
"further , numerous passages in the scriptures reveal that jehovah sees the unborn as distinct individuals . ","magluwas sini , madamo nga teksto sa biblia ang nagapakita nga ginatamod ni jehova ang wala pa matawo nga mga lapsag subong pinasahi nga mga indibiduwal . "
"for example , king david was inspired to say of jehovah you kept me screened off in the belly of my mother . ","halimbawa , si hari david nagsiling tuhoy kay jehova ginputus mo ako sa tiyan sang akon iloy . "
"your eyes saw even the embryo of me , and in your book all its parts were down in writing , as regards the days when they were formed . ","ang imo mga mata nakakita sang akon wala mahuman nga kinaugali sa imo tolon - an nasulat na sila tanan , ang mga adlaw nga ginpat - ud nga sa akon . "
jehovah also sees that the unborn have distinct traits and may have great potential for the future . ,nakita man ni jehova nga ang wala pa matawo nga lapsag may pinasahi na nga mga kinaiya kag makita man niya kon ano ang ila posible nga himuon pagdaku nila . 
"while isaac ' s wife rebekah was pregnant with twins , jehovah uttered a prophecy about the two boys struggling in her womb , suggesting that he already saw traits in them that would have far - reaching effects . ","samtang nagabusong sing kapid nga lalaki ang asawa ni isaac nga si rebeca , nagtagna si jehova tuhoy sa sining duha ka lapsag nga nagadis - uganay sa iya tiyan , kag nagapakita ini nga nahibaluan na ni jehova ang ila mga kinaiya nga makaapektar sa madamo nga tawo sa palaabuton . "
the case of john the baptist is an interesting one as well . ,makapainteres man ang natabo sang wala pa mabun - ag si juan bautista . 
"the gospel account says as elizabeth heard the greeting of mary , the infant in her womb leaped and elizabeth was filled with holy spirit . ","ang ebanghelyo nagsiling sang mabatian ni elisabet ang panamyaw ni maria , ang lapsag nagkibo sa iya taguangkan kag si elisabet napuno sing balaan nga espiritu . "
"in describing this incident , the physician luke used a greek word that could refer either to a fetus or to a baby after its birth . ","sa paglaragway sini nga kahimtangan , ang doktor nga si lucas naggamit sing griego nga tinaga nga pareho nga nagapatuhoy sa fetus kag sa nabun - ag na nga lapsag . "
he used the same word in referring to the baby jesus lying in the manger . ,amo man ini nga tinaga ang gingamit niya sang ginpatuhuyan niya ang lapsag nga si jesus nga nagahigda sa pasungan . 
"on the whole , does the bible give us a basis for drawing a big distinction between a baby in the womb and one that has drawn its first breath . ","sa kabug - usan , ginapakita bala sang biblia nga may daku gid kinatuhayan ang wala pa mabun - ag nga lapsag kag ang isa nga nabun - ag na . "
and that accords with the findings of modern science . ,kag nagasibu ina sa mga tukib sang moderno nga siensia . 
"for example , researchers have learned that a baby in the womb is able to sense and respond to external stimuli . ","halimbawa , natukiban sang mga researcher nga ang wala pa mabun - ag nga lapsag makabatyag na sa mga nagakatabo sa gua sang tiyan sang iya iloy . "
"thus , it is not surprising that an expectant mother develops such a close bond with the child growing within her . ","gani , indi makapakibot nga ang nagabusong nga iloy makapalambo sing suod nga kaangtanan sa lapsag sa iya tiyan . "
"when the baby finally arrives , the timing of birth can seem quite arbitrary . ",indi mapat - od kon san - o gid ang espesipiko nga tion nga maggua ang kada lapsag . 
"consider this example one mother gives birth prematurely to a living baby , who dies after a few days . ","binagbinaga ini nga halimbawa ang isa ka iloy nagbun - ag sing lapsag nga kulang sing binulan , kag napatay ini pagligad sing pila ka adlaw . "
"another mother carries her baby to full term , but the child dies just before birth . ","ang isa naman ka iloy nagadala sing lapsag nga kompleto sing binulan , apang napatay ang lapsag antes ini maggua . "
"is the first mother blessed with the hope that her child will be resurrected simply because of the happenstance of a premature birth , whereas the second mother has no such hope . ","makalaum bala ang una nga iloy nga mabanhaw ang iya bata bangod nabun - ag ini bisan kulang sing binulan , apang wala bala sina nga paglaum ang ikaduha nga iloy . "
"to summarize , then , the bible clearly teaches that life begins at conception and that jehovah sees the unborn child as a unique and valued individual . ","sa pagsumaryo , maathag nga ginatudlo sang biblia nga ang kabuhi nagasugod na sa pagpanamkon pa lang kag ginatamod na ni jehova ang wala pa mabun - ag nga lapsag nga pinasahi kag ginapabaloran niya subong indibiduwal . "
"in the light of those scriptural truths , some might see it as inconsistent to argue that there is no hope for a resurrection of an unborn child that dies . ","bangod sini nga mga kamatuoran sa biblia , ang pila ka tawo nagabatyag nga indi nagakaigo nga maghinakop nga wala sing paglaum nga mabanhaw ang mga lapsag nga napatay antes pa mabun - ag . "
"indeed , they might feel that such an argument undermines our scriptural stand against abortion , which is largely based on those very truths . ","nagabatyag sila nga ina nga pangatarungan nagapahuyang sang aton panindugan batok sa aborsion , nga napasad gid sa sina nga mga kamatuoran . "
"in the past , this journal has raised some practical questions that seem to cast doubt on the possibility of a resurrection for children who died before birth . ","sang nagligad , ini nga magasin nagpautwas sing pila ka praktikal nga mga pamangkot nga daw nagaduhaduha sa posibilidad nga mabanhaw pa ang mga lapsag nga napatay antes mabun - ag . "
"for example , would god implant even a partially developed embryo in the womb of a woman in paradise . ","halimbawa , ibutang bala sang dios ang fetus sa tiyan sang isa ka babayi sa paraiso . "
"however , further study and prayerful meditation has led the governing body to conclude that such considerations do not really have a bearing on the resurrection hope . ","apang , pagkatapos sang dugang pa nga mga pagtuon , pagpangamuyo kag pagpamalandong , naghinakop ang nagadumala nga hubon nga indi ina daku nga upang sa pagkabanhaw . "
jesus said all things are possible with god . ,si jesus nagsiling ang tanan nga butang posible sa dios . 
jesus ' own experience demonstrated the truth of that statement his life was transferred from heaven to the womb of a young virgin surely an utter impossibility from a human standpoint . ,ang eksperiensia mismo ni jesus nagapamatuod sini nga pinamulong ang iya kabuhi sa langit ginliton sa tiyan sang lamharon nga dalaga . 
"does all of this mean , then , that the bible teaches that children who perish before birth will be resurrected . ","gani , nagakahulugan bala ini nga ginatudlo sang biblia nga ang mga lapsag nga napatay antes mabun - ag pagabanhawon . "
"we must emphasize that the bible does not directly answer that question , so there is no basis for humans to be dogmatic on the matter . ","dapat ipadaku naton nga wala ini ginasabat sing direkta sang biblia , amo nga indi kita mag - insister nga mabanhaw sila . "
this subject may give rise to an almost endless variety of questions . ,ini nga topiko mahimo magpautwas sing wala katapusan nga mga pamangkot . 
"really , though , it seems best to avoid speculation . ",gani maayo gid nga indi kita maghaumhaum . 
"what we know is this the matter rests with jehovah god , who is abundant in loving - kindness and mercy . ","itugyan na lang naton ini kay jehova nga dios , nga bugana sa mahigugmaon nga kaayo kag kaluoy . "
"unquestionably , it is his heartfelt desire to undo death by means of the resurrection . ",wala duhaduha nga nalangkag gid sia nga baliskaron ang halit nga natuga sang kamatayon paagi sa pagkabanhaw . 
we can be confident that he always does what is right . ,makasalig kita nga ginahimo niya pirme kon ano ang husto . 
he will provide healing for the many wounds inflicted upon us by life in this wicked system of things as he lovingly directs his son to break up the works of the devil . ,magahatag sia sing kaumpawan sa mga kasakit nga naeksperiensiahan naton sa sining malaut nga kalibutan samtang mahigugmaon niya nga ginatuytuyan ang iya anak sa paglaglag sa mga binuhatan sang yawa . 
footnote this passage is sometimes translated in a way that implies that only the death of the mother would incur a death penalty . ,nota ginapakita sang iban nga badbad sini nga teksto nga ang kamatayon lamang sang iloy ang kinahanglan bayaran sing silot nga kamatayon . 
"however , the original hebrew text shows that the law spoke of a fatal injury to either the mother or her unborn child . ","apang , ang orihinal nga hebreo nga teksto nagapakita nga ang kasuguan nagapatuhoy sa kamatayon sang iloy ukon sang iya wala pa matawo nga lapsag . "
"according to reports , the number of teens being diagnosed with depression is increasing at an alarming rate . ","suno sa mga report , nagadamo na gid ang mga tin - edyer nga may depresyon . "
what can be done about the problem . ,paano maatubang ini nga problema . 
this issue of awake . ,mabasa sa sini nga magmata . 
"discusses some suggestions for teens who suffer from depression and for their parents as well , to help them offer their children comfort and support . ",may mga panugda man ini para sa mga ginikanan agod mapaumpawan kag mabuligan nila ang ila mga kabataan . 
"when i have a bout of depression , says anna , i have no motivation to do anything , not even the things i usually love to do . ","kon nagabatyag ako sing depresyon , siling ni anna , wala ako gana maghimo sing bisan ano , bisan pa ang mga nanamian ko himuon . "
all i want to do is sleep . ,gusto ko lang magtulog pirme . 
"i often feel that i am unlovable , worthless , and a burden to others . ","pamatyag ko wala sing may nagapalangga sa akon , wala ako sing pulos , kag pabug - at lang sa iban . "
"i thought about suicide , recalls julia . ","gusto ko maghikog , siling ni julia . "
i didn ' t really want to die . ,indi ko man gusto mapatay . 
i just wanted to stop feeling this way . ,gusto ko lang madula ang akon ginabatyag . 
"i ' m normally a caring person , but when i ' m depressed , i care little about anyone or anything . ","mapinalanggaon ako , pero kon nagabatyag ako sing depresyon , wala ako sing labot sa kay bisan sin - o ukon sa bisan ano . "
anna and julia were in their early teens when they first experienced depression . ,"ang iban nga kabataan nagabatyag man sing kasubo kon kaisa , pero si anna kag si julia sinemana ukon binulan nga nagabatyag sing depresyon . "
"while other young people might occasionally feel down , anna and julia had periods of depression that persisted for weeks or months at a time . ","daw ara ka sa madulom kag madalom nga buho nga wala sing maguaan , siling ni anna . "
"it ' s like being stuck in a deep , dark hole with no way out , anna says . ",daw mabuang ka kag daw wala ka sa imo kaugalingon . 
"you feel like you are losing your mind , losing who you are . ",indi lang si anna kag si julia ang nagabatyag sini . 
anna and julia ' s situation is not uncommon . ,"ang mga sintomas sang depresyon mahimo maggua bisan tin - edyer pa lang ang isa kag mahimo ini maglakip sang pagbag - o sa oras sang pagtulog , gana sa pagkaon , kag pagtambok ukon pagniwang . "
"the symptoms of depression can appear during adolescence and may include changes in sleep patterns , appetite , and weight . ","mahimo man magbatyag ang isa sing kasubo , wala sing paglaum , kag wala sing pulos . "
"feelings of despair , hopelessness , sadness , and worthlessness may also appear . ","gusto man niya mag - isahanon pirme , nabudlayan sia magkonsentrar ukon nangin malipaton , nagapamensar nga maghikog ukon nagahikog , kag iban pa nga indi mapaathag nga mga sintomas . "
"other signs include social withdrawal , trouble concentrating or remembering , suicidal thoughts or actions , and medically unexplained symptoms . ","para mapat - od sang mga doktor nga ang isa may depresyon , kinaandan na nga ginausisa nila ang iban pa nga mga sintomas sang depresyon nga nagadugay sing sinemana kag nagapabudlay sa pagsinalayo sang isa . "
"when mental - health professionals suspect depression , they usually look for groups of symptoms that persist for weeks and that disrupt a person ' s everyday life . ","suno sa who , indi lang isa ang kabangdanan sang depresyon . "
"according to who , depression results from a complex interaction of social , psychological and biological factors . ","mahimo nga resulta ini sang stress , pisikal nga mga kabangdanan , ukon indi maayo nga pagtratar sang iban sa isa . "
these may include the following . ,mahimo ini maglakip sang masunod . 
physical factors . ,pisikal nga mga kabangdanan . 
"as was true in julia ' s case , depression often runs in families , suggesting that genetics can play a role , perhaps affecting chemical activity in the brain . ","pareho sa kahimtangan ni julia , masami nga napanubli sa pamilya ang depresyon , nga nagapakita nga mahimo ara na ini sa gene , nga ayhan nagaapektar sa pagpanghikot sang utok . "
"other physical risk factors include cardiovascular disease and changing hormone levels , as well as ongoing substance abuse , which may intensify depression , if not give rise to it . ","ang iban pa nga kabangdanan nagalakip sang balatian sa tagipusuon kag pagbag - o sang hormone , subong man ang padayon nga pag - abuso sa droga ukon ilimnon nga mahimo magpalala sa depresyon , ukon magresulta sa depresyon . "
"while a little stress can be healthy , chronic or excessive stress can be physically and psychologically harmful , sometimes to the point of plunging a susceptible , or biologically vulnerable , teen into depression . ","maayo ang diutay nga stress , pero ang nagadugay kag grabe nga stress makahalit sa pisikal kag panghunahuna , nga kon kaisa nagaresulta sing depresyon sa tin - edyer nga madali maapektuhan sini nga balatian . "
"that said , the exact causes of depression remain unclear and may involve a combination of factors , as mentioned earlier . ",gani indi pa mahibaluan kon ano gid ang kabangdanan sang depresyon kag mahimo nga resulta ini sang duha ukon kapin pa sa mga rason nga ginsambit kaina . 
"stress - related factors linked to depression may include parental divorce or separation , the death of a loved one , physical or sexual abuse , a serious accident , illness , or a learning disability especially if a child feels rejected as a result . ","nalakip sa kabangdanan sang stress nga mahimo magresulta sa depresyon amo ang pagdiborsio ukon pagbulagay sang mga ginikanan , pagkapatay sang pinalangga , pisikal ukon seksuwal nga pag - abuso , grabe nga aksidente , balatian , ukon kabudlayan sa pagtuon ilabi na kon magbatyag ang bata nga indi sia palangga bangod sini . "
"a related factor may be unrealistically high parental expectations , perhaps in regard to scholastic achievement . ","mahimo man bangdan ang indi realistiko nga ginapaabot sang mga ginikanan sa bata , ayhan sa iya pag - eskwela . "
"other possible causes are bullying , uncertainty about the future , emotional estrangement by a depressed parent , and parental unpredictability . ","ang iban pa nga kabangdanan amo ang pagpangdaugdaug , kabalaka sa palaabuton , kakulang sa pagpalangga sang na - depress nga ginikanan , kag indi mapaktan nga batasan sang ginikanan . "
"if depression results , what may help a teen to cope . ","kon magresulta ini sa depresyon , ano ang makabulig sa mga tin - edyer nga maatubang ini . "
moderate to severe depression is usually managed with medication and counseling by a mental - health professional . ,kinaandan na nga makontrol ang haganhagan kag ang malala nga depresyon paagi sa bulong kag bulig sang mga doktor . 
"jesus christ said those who are strong do not need a physician , but those who are ill do . ","si jesucristo nagsiling ang mga mapagros wala nagakinahanglan sing manugbulong , kundi ang mga masakiton . "
"and illness can affect any part of our body , including our brain . ","kon magmasakit kita , apektado ang aton lawas pati na ang aton utok . "
lifestyle changes may also be advisable because our mind and body are closely connected . ,mahimo kinahanglan man bag - uhon ang estilo sang aton pagkabuhi bangod ang nagakatabo sa aton lawas may epekto sa aton hunahuna kag amo man ang hunahuna sa aton lawas . 
"if you suffer from depression , take reasonable measures to care for your physical and mental health . ","kon may depresyon ka , atipana sing maayo ang imo pisikal kag mental nga kapagros . "
"for instance , eat wholesome meals , get sufficient sleep , and exercise regularly . ","halimbawa , magkaon sing masustansia nga mga pagkaon , magtulog sing maayo , kag mag - ehersisyo sing regular . "
"exercise releases chemicals that can lift your mood , increase your energy , and improve your sleep . ","ang pag - ehersisyo nagapagua sing mga kemikal nga makapasadya sa imo , nagadugang sang imo kusog , kag nagapanami sang imo pagtulog . "
"if possible , try to recognize triggers and early warning signs of a depressive mood and create a suitable plan of action . ","kon posible , hibalua kon ano ang mga rason kag mga palatandaan nga nagabatyag ka sing depresyon , dayon mangita sing paagi nga makontrol ini . "
confide in someone you trust . ,isugid ini sa isa nga imo ginasaligan . 
"a supportive network of close family members and friends may help you to cope more effectively with your depression , possibly reducing symptoms . ",makabulig man ang suporta sang suod nga mga miembro sang pamilya kag mga abyan para maatubang sing epektibo ang imo depresyon kag mahimo mabuhinan ang mga sintomas sini . 
"record your thoughts and feelings in a journal a practice that helped julia , quoted earlier . ",isulat ang imo ginahunahuna kag ginabatyag amo ini ang nakabulig kay julia nga ginsambit kaina . 
"above all , be sure to address your spiritual need . ","labaw sa tanan , siguraduha nga matigayon mo ang imo espirituwal nga kinahanglanon . "
this can greatly improve your outlook on life . ,makabulig ini para mangin maayo ang imo panglantaw sa kabuhi . 
jesus christ said happy are those conscious of their spiritual need . ,si jesucristo nagsiling malipayon ang mga mahunahunaon sa ila espirituwal nga kinahanglanon . 
"eat well , stay active , and get sufficient sleep you can find comfort by satisfying your spiritual need both anna and julia attest to jesus ' words . ","magkaon sing maayo , mag - ehersisyo , kag magtulog sing maayo makabaton ka sing paumpaw paagi sa pagtigayon sang imo espirituwal nga kinahanglanon napamatud - an ni anna kag ni julia nga matuod ang ginsiling ni jesus . "
"anna says spiritual activities make me focus on other people , not just on my own problems . ","si anna nagsiling ang espirituwal nga mga hilikuton nagabulig sa akon nga magpokus sa iban nga tawo , indi lang sa akon mga problema . "
"that isn ' t always easy , but i am much happier as a result . ","indi ini pirme mahapos , pero mas malipayon ako bangod sini . "
julia finds comfort in prayer and bible reading . ,naumpawan si julia paagi sa pangamuyo kag pagbasa sing biblia . 
"pouring out my heart to god in prayer calms me , she says . ","ang pagsugid sa dios sang akon ginabatyag paagi sa pangamuyo nagapakalma sa akon , siling niya . "
and the bible helps me to see that i am valuable in god ' s eyes and that he really cares about me . ,kag ang biblia nagbulig sa akon nga mahangpan nga palangga ako sang dios kag nagaulikid gid sia sa akon . 
bible reading also gives me a positive view of the future . ,ang pagbasa sang biblia nagabulig man sa akon nga mangin positibo ang akon panglantaw sa palaabuton . 
"as our creator , jehovah god fully understands how our upbringing , experiences in life , and genetic makeup influence our outlook and emotions . ","bilang aton manunuga , nahangpan gid ni jehova nga dios nga ang aton gindak - an , inagihan sa kabuhi , kag pagkahuman may impluwensia sa aton pagtamod kag ginabatyag . "
"he is therefore able to supply needed support and comfort , perhaps doing so through compassionate and understanding fellow humans . ","gani mabuligan kag mapaumpawan niya kita , ayhan paagi sa mga tawo nga mapinalanggaon kag nakaintiende gid sa aton . "
"moreover , the time will come when god will heal us of all our illnesses , physical or mental . ","isa pa , magaabot ang tion nga ayuhon sang dios ang tanan naton nga balatian , pisikal man ukon mental . "
"yes , the bible promises that god will wipe out every tear from our eyes , and death will be no more , neither will mourning nor outcry nor pain be anymore . ","nagpromisa ang biblia nga pahiran sang dios ang tagsa ka luha sa aton mga mata , kag wala na sing kamatayon , ukon paglalaw ukon paghibi ukon kasakit pa . "
how comforting and reassuring that is . ,makapaumpaw kag masaligan gid ina . 
"if you would like to learn more about god ' s purpose for mankind and the earth , please visit us at jw . ","kon gusto mo makatuon sing dugang pa parte sa katuyuan sang dios sa mga tawo kag sa duta , palihug kadtui ang jw . "
"there you will find an excellent online bible , as well as articles on a broad range of topics , including depression . ","mabasa mo diri ang maayo gid nga biblia sa internet , kag ang mga artikulo sa lainlain nga topiko , lakip ang parte sa depresyon . "
does not endorse any specific treatment or therapy . ,ang bisan ano nga partikular nga pagbulong . 
recognize that depressed teens may find it hard to express their feelings or may not understand what is happening to them . ,batuna nga ang mga tin - edyer nga may depresyon nabudlayan sa paghambal sang ila mga ginabatyag ukon mahimo nga indi nila mahangpan ang nagakatabo sa ila . 
they may not even be aware of the symptoms of depression . ,mahimo nga indi pa gani nila matalupangdan ang mga sintomas sang depresyon . 
"teens tend to express their depression in ways different from those of adults , so be alert to major changes in your child ' s behavior , eating habits , moods , sleep patterns , or social interactions especially if the changes persist for weeks . ","indi pareho sa mga adulto ang paagi sang mga tin - edyer sa pagpabutyag sang ila depresyon , gani mangin alisto sa daku nga mga pagbag - o sa imo bata . "
take seriously any comments or hints regarding suicide . ,"halimbawa , pagbag - o sa iya pamatasan , sa iya pagkaon , sa iya modo , sa iya pagtulog , ukon sa iya pagpakig - upod sa iban ilabi na kon nagadugay ini sing sinemana . "
"if you suspect depression , consider getting a professional diagnosis . ",indi pagbalewalaa ang iya ginahambal ukon mga patimaan sang paghikog . 
"help your teen adhere to the doctor ' s prescribed treatment , and consult the doctor if you see no improvement or observe unpleasant side effects . ","kon sa banta mo may depresyon ang imo bata , ipakonsulta sia sa doktor . buligi ang imo bata nga sundon ang ginasiling sang doktor , kag pahibalua ang doktor kon wala sing alibyo ukon may indi maayo nga mga epekto ang pagbulong . "
"have a stable family routine for eating , exercising , and sleeping . ","dapat may regular nga iskedyul ang pamilya sa pagkaon , pag - ehersisyo , kag pagtulog . "
"maintain good communication with your teen , and help him or her to deal with any stigma associated with depression . ","istoryaha pirme ang imo bata , kag buligi sia nga maatubang ang negatibo nga reaksion sang iban parte sa depresyon . "
"because depression can make one feel alone , ashamed , or worthless , regularly reassure your teen of your love . ","bangod mahimo magbatyag ang imo bata nga nagaisahanon , nahuya , ukon wala sing pulos bangod sa depresyon , pasaliga sia pirme nga palangga mo sia . "
"if you suffer from depression , a practical suggestion to help you control your thoughts and feelings is to create what has been called an emotional first - aid kit . ","kon may depresyon ka , may praktikal nga mga panugda nga makabulig sa imo para makontrol ang imo ginahunahuna kag ginabatyag . ginatawag ini nga first - aid kit sang imo ginabatyag . "
"one factor may be the stress resulting from emotional , physical , or sexual harassment or abuse , which girls often have to cope with . ","ang isa sa mga kabangdanan mahimo amo ang stress bangod sa emosyonal , pisikal , ukon seksuwal nga pag - abuso , nga sa masami maeksperiensiahan sang mga babayi . "
"when a scary external world and a chaotic internal world collide , wrote professional counselor sharon hersh , the result is often overwhelming and confusing . ","kon magsamo ang kabalaka bangod sa nagakatabo sa palibot kag ang ginabatyag nga indi maintiendihan , sulat sang propesyonal nga manuglaygay nga si sharon hersh , masami nga indi gid maayo ang resulta kag makalilibog . "
girls may also be unduly influenced by media portrayals of the ideal body . ,madali man maimpluwensiahan ang mga babayi sang makita nila sa media parte sa seksi nga lawas . 
a girl who sees herself as physically undesirable or who is overly concerned about peer approval may be more vulnerable to depression . ,"ang babayi nga nagabatyag nga indi sia guapa ukon nabalaka gid kon bala batunon sia sang iya nga kaedad , may daku nga posibilidad nga magbatyag sing depresyon . "
"on hearing this , jesus said to them those who are strong do not need a physician , but those who are ill do . ","sang nabatian ini ni jesus , nagsiling sia sa ila ang mga mapagros wala nagakinahanglan sing manugbulong , kundi ang mga masakiton . "
"i came to call , not righteous people , but sinners . ","wala ako nagkari sa pagtawag sa mga matarong , kundi sa mga makasasala . "
"happy are those conscious of their spiritual need , since the kingdom of the heavens belongs to them . ","malipayon ang mga mahunahunaon sa ila espirituwal nga kinahanglanon , kay ila ang ginharian sang langit . "
or those who are beggars for the spirit . ,ukon ang mga nagapakilimos sang espiritu . 
and no resident will say i am sick . ,kag wala sing pumuluyo nga magasiling nagamasakit ako . 
the people dwelling in the land will be pardoned for their error . ,ang katawhan nga nagapuyo sa duta napatawad na sa ila sala . 
"and he will wipe out every tear from their eyes , and death will be no more , neither will mourning nor outcry nor pain be anymore . ","kag pahiran niya ang tagsa ka luha sa ila mga mata , kag wala na sing kamatayon , ukon paglalaw ukon paghibi ukon kasakit pa . "
